Date,Open,High,Low,Close,Volume
2021-01-04T05:00:00.000Z,28.8169799182,29.0272711335,28.4805134389,28.6347255707,7026200
2021-01-05T05:00:00.000Z,28.7538942981,29.6861863983,28.6417387971,29.6511383057,5370300
2021-01-06T05:00:00.000Z,29.8614307889,29.924518428,29.0903620218,29.279624939,7892400
2021-01-07T05:00:00.000Z,29.4408518473,30.0366775413,29.10438529,29.9665813446,10484700
2021-01-08T05:00:00.000Z,30.1348079947,30.1698560838,29.5249600138,29.7072143555,7759500
2021-01-11T05:00:00.000Z,29.6511484058,29.8334028282,29.4688966574,29.7703151703,6591500
2021-01-12T05:00:00.000Z,29.9525576051,30.1348119708,29.7492749179,30.1137809753,11678700
2021-01-13T05:00:00.000Z,30.1628488251,30.8427930736,30.0927526377,30.8077449799,7498200
2021-01-14T05:00:00.000Z,30.8427945648,31.5998462604,30.8287747919,31.5577869415,11852900
2021-01-15T05:00:00.000Z,31.7049836056,31.7049836056,31.0811185527,31.4596443176,14490600
2021-01-18T05:00:00.000Z,31.0390647512,31.1231833855,30.5483860881,30.8988723755,2922200
2021-01-19T05:00:00.000Z,31.1301918622,31.5998448767,30.8498017634,31.368522644,9668800
2021-01-20T05:00:00.000Z,31.3965622258,31.5718053693,31.2493586271,31.5227375031,13776400
2021-01-21T05:00:00.000Z,31.5227395187,31.536759292,30.9549507349,31.0671062469,6396100
2021-01-22T05:00:00.000Z,30.66754978,31.0250446123,30.6395102356,30.9549484253,7012000
2021-01-25T05:00:00.000Z,30.9619520087,31.0180310886,30.5694091459,30.9409236908,6890500
2021-01-26T05:00:00.000Z,30.9829868464,31.1582299817,30.723627755,31.0250434875,8228400
2021-01-27T05:00:00.000Z,30.8778422121,31.025045815,30.3451042175,30.3451042175,4892700
2021-01-28T05:00:00.000Z,30.4502481689,30.6605420838,30.2049088334,30.5553951263,7088200
2021-01-29T05:00:00.000Z,30.2189279305,30.4852982559,29.9876056988,30.1137809753,10135300
2021-02-01T05:00:00.000Z,30.3801551974,30.7026019793,30.0927565137,30.5063304901,6884800
2021-02-02T05:00:00.000Z,30.8427879751,31.0951384864,30.6955844015,30.9409236908,8125600
2021-02-03T05:00:00.000Z,31.0180308616,31.3334689983,30.8427877493,31.3054294586,10129400
2021-02-04T05:00:00.000Z,31.3615128683,31.7400360107,31.0741142316,31.7400360107,22647900
