Date,Open,High,Low,Close,Volume
2021-01-04T05:00:00.000Z,44.7625524236,45.5659841078,44.7563505521,45.4543113708,32182200
2021-01-05T05:00:00.000Z,45.4760222608,45.6218177015,44.8214888078,45.2123451233,26498100
2021-01-06T05:00:00.000Z,45.0076136679,45.9413307372,44.9827955336,45.4946327209,21918900
2021-01-07T05:00:00.000Z,45.7924301125,45.8358574076,45.3023048253,45.4915275574,20538000
2021-01-08T05:00:00.000Z,45.5628786885,45.6001041152,45.2309596579,45.4853286743,24478200
2021-01-11T05:00:00.000Z,45.289902808,45.9072108919,45.289902808,45.6900672913,26264400
2021-01-12T05:00:00.000Z,46.2205164755,46.5090046681,46.0095747498,46.2112083435,23373300
2021-01-13T05:00:00.000Z,46.1429678124,46.2422332645,45.7334987101,45.7397041321,16069500
2021-01-14T05:00:00.000Z,45.8544786837,45.9103132807,45.3023132862,45.5908050537,23017200
2021-01-15T05:00:00.000Z,45.0231303328,45.2588831179,44.5671276675,44.8680267334,35920500
2021-01-19T05:00:00.000Z,44.868019921,45.0014080732,44.2569172991,44.4802627563,24123600
2021-01-20T05:00:00.000Z,44.5423048912,45.1844274977,44.325161312,45.1378974915,23775600
2021-01-21T05:00:00.000Z,45.0913651476,45.2061405771,44.7346280181,44.9331588745,14325900
2021-01-22T05:00:00.000Z,45.1658212065,45.705579296,45.0169230353,45.3922729492,19219500
2021-01-25T05:00:00.000Z,45.0913692696,45.3674501577,44.7532448207,45.351940155,19031100
2021-01-26T05:00:00.000Z,45.1751155223,45.8513643359,45.1254863599,45.7583007812,15031500
2021-01-27T05:00:00.000Z,45.587705396,45.8668890494,44.5299045442,44.6198654175,29910300
2021-01-28T05:00:00.000Z,44.812176927,45.3705476096,44.5547087819,44.5919342041,22301700
2021-01-29T05:00:00.000Z,44.415121321,44.5919403257,43.5372423693,43.5806732178,32509200
2021-02-01T05:00:00.000Z,43.710966679,43.8908848772,43.1774139567,43.2022285461,25945200
2021-02-02T05:00:00.000Z,43.3542161477,44.0956041414,43.2549507206,43.6675224304,27002400
2021-02-03T05:00:00.000Z,43.6334076963,44.0645921964,43.624103114,43.8009185791,14966700
2021-02-04T05:00:00.000Z,43.9839424331,44.4151269622,43.81953425,44.2134933472,17346300
2021-02-05T05:00:00.000Z,44.5019786624,44.933163129,44.2134869312,44.781162262,20451600
2021-02-08T05:00:00.000Z,44.9207567942,45.1596158117,44.8121832226,44.9890022278,15825300
